"Modulo_Macula","Modulo_Periferia","Jaccard"
"turquoise","turquoise",0.857764175257732
"yellow","turquoise",0.842854777281007
"blue","turquoise",0.804913765050439
"brown","turquoise",0.787937743190661
"green","brown",0.772417503586801
"blue","blue",0.76956826956827
"green","turquoise",0.760489795918367
"brown","brown",0.755590223608944
"turquoise","brown",0.755199735886431
"turquoise","blue",0.74655601659751
"brown","blue",0.731121479177467
"yellow","brown",0.723504633529907
"yellow","blue",0.721503912895543
"blue","brown",0.717149595687331
"red","turquoise",0.70812685827552
"brown","green",0.697822141560799
"green","green",0.69709388971684
"magenta","brown",0.692857142857143
"green","blue",0.691708499221049
"magenta","turquoise",0.683485477178423
"brown","yellow",0.668507303170645
"red","blue",0.662983425414365
"turquoise","yellow",0.662792656223682
"blue","yellow",0.658519430279585
"yellow","yellow",0.656403079076277
"turquoise","green",0.655195568239046
"red","brown",0.65515427769986
"pink","blue",0.653465346534653
"green","yellow",0.653135193910837
"blue","green",0.652341694439572
"pink","turquoise",0.652331520843632
"magenta","blue",0.651835775004522
"yellow","green",0.639958376690947
"magenta","green",0.637664346481052
"yellow","black",0.636722252106868
"red","yellow",0.623947614593078
"pink","brown",0.623910336239103
"red","black",0.622883829538821
"red","green",0.620792819745699
"turquoise","red",0.620069204152249
"magenta","red",0.619415109666937
"magenta","yellow",0.619320351279114
"turquoise","black",0.617512302732055
"pink","yellow",0.616811594202899
"blue","black",0.611199716462874
"black","turquoise",0.610540271793172
"blue","red",0.609377817853922
"black","blue",0.607235142118863
"brown","black",0.601383714741884
"black","yellow",0.595129677291625
"green","black",0.5915186661834
"black","brown",0.590261496844004
"green","red",0.589885566629753
"brown","red",0.587918981896397
"red","red",0.585872307393751
"yellow","red",0.585840707964602
"pink","green",0.585689884228506
"magenta","black",0.584046692607004
"pink","black",0.577633647798742
"black","green",0.573440250342265
"black","red",0.567483388704319
"pink","red",0.561804451510334
"black","black",0.558045628911771
"pink","magenta",0.552955922289534
"red","magenta",0.552193949108395
"magenta","purple",0.552068177094159
"blue","magenta",0.550912408759124
"black","magenta",0.545671512258624
"green","purple",0.537746585735964
"yellow","purple",0.536350418029807
"turquoise","magenta",0.536174600446812
